学科名称,问题,答案
Python学科,"faild to load module canberra
-gtk-module 报错",用 sudo apt-get install libcanberra-gtk-module   命令安装  libcanberra-gtk-module  模块
Python学科,PyCharm使用中文版本还是英文版本,强烈推荐使用英文版本，中文版本虽然一时半会儿可以让你更快熟悉PyCharm这个软件的部分功能的使用，但是英文IT界内大部分人都是使用的英文版本，所以使用中文版本就会有沟通问题，当你碰到什么问题，或者想要学习更多新功能的时候，此时看到的资料大部分都是英文的。所以推荐刚刚开始学习的时候就使用英文版本，这时候如果有碰到英文单词不知道什么意思，建议用工具查一下并且记录下来，PyCharm软件常用的英文单词很少，而且含义单一，很好记忆
Python学科,python3.7 64位版本pygame安装报错,"3.6可以正常通过pip install pygame  进行安装

3.7版本需要通过whl进行安装 whl见附件，安装前需要解压缩，后缀名为whl的

针对64位的方法进行解决的，首先安装pip install wheel

在终端上cd到你的pygame的那个文件夹下输入以下内容

pip install pygame-1.9.3-cp37-cp37m-win_amd64.whl即可正确安装"
Python学科,"找不到可以连接的有效对等进程
Could not open /dev/vmmon","在控制台运行下面命令

sudo spctl --master-disable
这样就开启了允许安装『任何来源』的配置

这样就不会拦截软件的安装，而导致错误提示

"
Python学科,lxml的tree报错,原因是etree最低支持版本是3.4版本，用户的版本是3.3版本，解决办法是升级python环境
Python学科,redis存储类型里面提到的“string类型是二进制安全的,"这个主要是和C语言里面的某些字符串处理函数比较，得到的概念，redis里面的字符串处理函数并不像C语言那样,使用'\0'作为判定一个字符串的结尾，而是使用了独立的 len，这样可以保证即使存储的数据中有'\0'这样的字符,它也是可以支持读取的"
Python学科,如何创建线程安全的单例对象,"一、首先，复习下课程中的讲解的单例对象的代码。

class Person(object):

    __instance = None
    __init_flag = False

    def __new__(cls,name):
        if cls.__instance == None:
            cls.__instance = object.__new__(cls)
            return cls.__instance

        else:
            return cls.__instance

    def __init__(self,name):
        if Person.__init_flag == False:
            self.name = name
            Person.__init_flag = True"
Python学科,selenium使用chrome无头浏览器执行js代码,"准备工作：
windows：
    chrome浏览器更新到59版本以上
    下载并安装chromedriver 下载地址：https://sites.google.com/a/chromium.org/chromedriver/ 下载对应版本的webdriver，下载后的webdriver驱动放置到我们的python安装目录或者放置到其他设置了环境变量的目录中
     更新安装selenium到最新版本:  pip install -U selenium
     安装完成后需要重启电脑，否则可能出现问题
ubuntu
    由于ubuntu默认安装的chrome版本最高到50 你需要手动更新chrome到最新版本，下载安装包并安装 下载地址https://www.google.com/chrome/thankyou.html?platform=linux&statcb=1&installdataindex=defaultbrowser
    下载并安装chromedriver 下载地址：https://sites.google.com/a/chromium.org/chromedriver/ 下载对应版本的webdriver  webdriver 放到/usr/local/bin 中或者其他设置了环境变量的目录
   更新安装selenium到最新版本 :    pip install -U selenium"
Python学科,怎么获取MongoDB中某个集合中所有文档的键的名字,"db.things.insert( { type : ['dog', 'cat'] } );
db.things.insert( { egg : ['cat'] } );
db.things.insert( { type : [] } );
db.things.insert( { hello : []  } );
想获得唯一键

type, egg, hello
可以用MapReduce做到这一点：

mr = db.runCommand({
  ""mapreduce"" : ""my_collection"",
  ""map"" : function() {
    for (var key in this) { emit(key, null); }
  },
  ""reduce"" : function(key, stuff) { return null; }, 
  ""out"": ""my_collection"" + ""_keys""
})
然后在生成的集合上运行distinct，以找到所有的键：

db[mr.result].distinct(""_id"")
[""foo"", ""bar"", ""baz"", ""_id"", ...]"
Python学科,PyCharm只能以单元测试方式运行python代码怎么解决,方法或者类中包含 test
Python学科,如何给某个特定的Python版本安装pip,"在 pip 的官网有介绍如何给 python 安装 pip

主要是下载 get-pip.py 文件，使用想要安装 pip 的 python 解释器运行这个 py 文件就可以了。"
Python学科,crawler spider中如何处理url返回respon,crawlspider 为我提供了一个方法，所以我们重写parse_start_url(response)方法即可，但是需要注意处理完成后的返回值
Python学科,Screenshot: available via scre,"原因：

webdiver没有提取到数据
提取到数据但是元素包含在iframe标签中，iframe 元素会创建包含另外一个文档的内联框架（即行内框架，所以导致我们提取不到内部框架标签内容
 
解决方法：

    如果是没有提取到数据，则需要自己去检查具体原因
    如果被包含在iframe标签则，使用driver.
  使用 driver 的 switch_to 方法切换到iframe中，然后再使用find_element等方式提取想要的元素
  或者直接使用xpath去提取数据
"
Python学科,使用crawlspider爬取aqi历史数据请求多,"原因：

由于提取规则的问题导致2中链接都被提取到

 

解决方法：

修改提取规则

修改后的提取链接：

    Rule(LinkExtractor(allow=r'daydata\.php\?city=.+?&month=\d{4}-\d+'), follow=False, callback='parse_day')

建议：

    在使用crawler spider的时候构建提取规则的时候的提取规则一定要严谨，如果不严谨会导致出现类似的 提取链接多、提取链接缺失等问题，遇到类似的问题先考虑提取规则的问题"
Python学科,爬虫处理返回的是gzip格式数据,"请求头中需要添加user-agent以外的其他信息例如cookie等

    对获取下来的gzip数据进行解压缩解压缩方式

     from io import StringIO,BytesIO  #python3 使用bytesio方法

     from StringIO import StringIO  #python2使用

     import gzip

    #以下代码以python3位例子

    buf = BytesIO(bytestr)       # bytestr就是获取的gzip数据

    f = gzip.GzipFile(fileobj=buf)

    html_response = f.read()    #得到解压缩的html内容

"
Python学科,windows如何安装redis,"    安装3.0.504版本 下载链接，https://github.com/MicrosoftArchive/redis/releases 如果安装其他一些版本建议卸载重现安装此版本，当前gitbub只维护64位版本，如果想使用32位版本请另行查找连接
    安装redis过程中记得勾选把redis添加到环境变量，如果没有添加则需要自己把安装的redis添加到环境变量中
    redis-server redis.windows.conf  启动redis server"
Python学科,Pycharm不能动态获取用户设置的环境变量，需要设置,进行操作添加临时变量后再次使用代码就可以获取到新添加的环境变量
Python学科,win10如何安装python虚拟环境以及爬虫环境,"以win10环境为例

    windows安装虚拟环境
安装python解释器建议直接安装python3最新版本，去python官网下载python解释器，根据操作系统版本32位还是64位下载对应的版本python解释器,仅仅安装python解释器其他的包不要安装
启动cmd终端准备开始安装虚拟环境,执行一下命令：
pip install virtualenv 
安装 windows 版本的virtualenvwrapper，这个要比我们原始的virtualenv好用很多，执行命令：
pip install virtualenvwrapper-win
配置virtualenvwrapper 虚拟环境位置l想linux下面的.virtualenv，如果不做配置默认是C:\Users\用户\Envs，一把C盘空间不大所以我们把虚拟环境目录设置到其他空间比较大的目录
4.1 创建工作目录，例如我这里创建在：D:\Envs
4.2 为创建的工作目录设置环境变量，右键我的电脑
到此配置virtualenvwrapper工作目录完成
配置完成后重新启动cmd命令窗口，因为新配置的环境变量对当前dos窗口不生效"
Python学科,pycharm专业版如何激活,"第一种方式：

这种方式是在线激活，也就是说必须要联网，在激活后使用的过程中，也必须联网。。。

不要把pycharm升级到最新版，如果你升级了，第一种方式可能就不能激活了。。。

1.  打开pycharm。打开下面的选项：

2. 在输入框中输入：http://idea.imsxm.com  然后点击 Activate即可。注意：这个网址，如果失效了，从网上重新搜索一个。

第二种方式：

这种方式属于离线方式，激活的时候需要联网，激活之后，正常使用的过程，不需要联网。

1.  修改 hosts文件。windows和ubuntu是一样的，只不过文件存在位置不同。

sudo vi /etc/hosts ,打开文件，在文件最后添加：0.0.0.0 account.jetbrains.com

2. 使用 注册码 激活。注意：注册码是有时间限制的，网上再找一个激活码。

把 激活码 复制进去，点击 OK。"
Python学科,os.path.dirname() 方法有什么作用？,"1.os.path.dirname(file) 方法返回 file 文件所在的文件夹的路径
file 是文件所在路径的字符串，可以是绝对路径，也可以是相对路径，dirname 方法本质上是通过 / 符号来切割字符串，找到 file 所在的路径。比如

file = ""/Users/bravian/PycharmProjects/demo/test.py"", dirname 返回 ""/Users/bravian/PycharmProjects/demo""

file= ""./demo/test.py""，dirname 返回 ""./demo""

2.__file__ 和 os.path.abspath(__file__) 的值是一样的
python解释器内置变量__file__ 的值是文件的绝对路径，所以__file__ 和 os.path.abspath(__file__) 的值是一样的

"
Python学科,cssrem设置的时候提示“系统找不到指定路径”如何解决？,"问题分析：
对于 sublime text 来说，cssrem 的配置文件的路径是 Packages\cssrem\cssrem.sublime-setting 文件，而我们下载后，解压完得到的文件是 cssrem-mater，配置文件路径是 Packages\cssrem-mater\cssrem.sublime-setting，所以默认的路径就找不到 cssrem.sublime-setting 文件啦。

解决办法：
把 Packages 文件夹中的 cssrem-master 文件夹名字修改为 cssrem。"
Python学科,Python中GC的垃圾回收算法是什么？,"在Python中对象的释放有两种方法，引用计数法，垃圾回收法，这里主要讲解GC的垃圾回收方法。

GC的垃圾回收算法也有两种，标记-清除算法（mark-sweep）和分代（generational）算法。

标记清除法
通过标记清除法可以找到那些不可达的循环引用对象。在Python中，所有能够引用其他对象的对象都被称为容器(container)，只有容器之间才可能形成循环引用。Python的垃圾回收机制利用了这个特点来寻找需要被释放的不可达的循环引用对象。

为了记录下所有的容器对象，Python将每一个容器都链到了一个双向链表中，使用双向链表是为了方便快速的在容器集合中插入和删除对象。有了这个维护了所有容器对象的双向链表以后，Python在垃圾回收时使用如下步骤来寻找需要释放的对象：

对于每一个容器对象，设置一个gc_refs值, 并将其初始化为该对象的引用计数值。
对于每一个容器对象，找到其引用的所有对象，将被引用对象的gc_refs值减1。
执行完步骤2以后所有gc_refs值还大于0的对象都被非容器对象引用着, 至少存在一个非循环引用。因此不能释放这些对象，将他们放入另一个集合。
在步骤3中不能被释放的对象, 如果他们引用着某个对象, 被引用的对象也是不能被释放的, 因此将这些对象也放入另一个集合中。
此时还剩下的对象都是无法到达的对象，现在可以释放这些对象了。"
Python学科,mongod.service not found 怎么解决,"原因分析
直接到 mongodb 官网下载 mongodb 之后，默认情况下，在 linux 系统里面不存在以后台服务运行 mongod 所需要的配置文件 mongod.servie ，所以运行

service mongod start
命令会提示找不到 mongod.service 文件

 
解决方法
想要使用 service mongod start 以后台服务的形式启动 mongod，需要完成下面2步。

1. 使用 nano 编辑器命令，创建 mongod.service 文件
sudo nano /etc/systemd/system/mongod.service
2. 在mongod.service文件中配置上服务对应的程序
在打开的文件中，填写上下面的内容

[Unit]
Description=High-performance, schema-free document-oriented database
After=network.target

[Service]
User=mongodb
ExecStart=/usr/local/mongodb/bin/mongod --quiet

[Install]
WantedBy=multi-user.target
其中

/usr/local/mongodb/bin/mongod 
是mongodb的mongod文件的路径，这个路径由你的 mongodb 的安装路径来决定。

 

3. 使用 start 命令来启动 mongod 服务，使用 status 命令来查看 mongod 服务的运行情况
sudo service mongod start
sudo service mongod status
正常启动后，使用 status 命令可以看到下面的信息"
Python学科,Missing scheme in request url:,"原因：

    scrapy中的spider 中的start_urls 必须是一个可迭代对象，而python中如果使用()来创建元组且只有一个元素的时候，需要有一个逗号才能创建元组start_urls = (‘http://www.baidu.com’,)

注意事项：

    start_urls要求必须是一个可迭代对象，可以是一个元组或者可以是一个列表
    start_urls中的元素要求是完整url，例如https：//www.baidu.com  不要只写www.baidu.com
解决方法：

    如果使用元组，那么如果元素只有一个url那么元组后面需要添加一个逗号，或者直接是用列表 "
Python学科,Tesseract OCR 中文库如何安装？,"sudo apt-get install tesseract-ocr-all  安装所有可用的语言包

    详细的教程参考：https://www.howtoing.com/tesseract-ocr-installation-and-usage-on-ubuntu-16-04

    里面同样详细介绍了tesseract的安装与使用

    "
Python学科,win7 fiddler4 安装https证书失败如何解决," 请参考播客文章   http://blog.csdn.net/qq_37579266/article/details/78301175

    这个播客文章中有这详细的解决这个问题的步骤

"
Python学科,"scrapy genspider name domain
创建spider有哪些注意点","1. scrapy genspider domain 创建spider的时候后面domain一定给正确的域名格式: baidu.com 而不是https://www.baidu.com/  genspider命令 会根据爬虫模板来创建spider，如果不正确使用，模板创建出来的spider出现问题如下图

start_urls 中的url问题  需要自己验证url是否可用例如<http://www.itcast.cn/channel/teacher.shtml>用浏览器可以正常访问,<http://www.itcast.cn/channel/teacher.shtml/>  如果后面加上一个/以后发现不能正常访问，平常我们去访问https://www.baidu.com  https://www.baidu.com/ 大部分网站在url末尾的路径符号/有没有都可以正常访问，但是**有些网站url的匹配规则比较严格加上/以后就不能访问，例如上面的url例子**

"
Python学科,spider爬取图片后重命名不能创建新目录,"原因
配置目录： PIC_DIR = './new_picture'
构造目录代码：new_pic_name = PIC_DIR + new_name # new_name = 'lili.png'
配置目录的后面/丢掉，且构造目录的方法使用的普通字符串加操作得到结果：new_pic_name = './new_picturelili.png' 出现错误

解决方法
1. 目录配置时候使用：PIC_DIR = './new_picture/' 后面的/不要丢掉
2. 构造目录的时候使用os.path.join(PIC_DIR ,new_name) 构造，无论你配置的后面有没有/都可以正确执行得到正确的目录

"
Python学科,Phantom虚拟机默认访问127.0.0.1不能获取到数据,"原因
 phantomjs内部域名解析问题, 没有找到具体原因

解决方法
1. 可以直接通过访问百度的域名ip地址直接获取资源 如上图

2. 通过soocket 模块逆向解析获取域名ip 再通过得到的ip地址来获取资源

import socket
cur_ip = socket.gethostbyname('baidu.com')"
Python学科,scrapy中item使用'.'点号的方式赋值出现错误,item继承与scrapy.Item 是一个类 字典的类型，而且比字典还会多一些错误校验的措施（例如定义的字段名字是title，但是赋值的时候使用item['tittle'] 这时候就会给我报错，如果我们使用的是普通字典则不会报错），使用方式与字典的方式一样使用。
Python学科,chrome中xpath能提百度贴吧帖子链接，使用代码提不到,"原因：
xpath 插件对获取到的源码做了部分优化, 初始的源码中贴吧的链接标签类属性中后面有空格<u>class=""j_th_tit ""</u>
xpath插件把类属性中的空格给优化了所以导致我们的使用的xpath规则在代码中提取不到任何东西

解决方法：
遇到类似的xpath在chrom中能提取到正确数据而在程序中不能正常提取则可以考虑是这种情况导致的，
思路： 启动xpath之前检查源码，启动xpath之后检查，对比两次的源码查看是否是这个问题导致"
Python学科,urllib2.HTTPError:HTTP Error,"win7下面使用fiddler后使用urllib2出现以下问题urllib2.HTTPError: HTTP Error 504: Fiddler - Receive Failure

原因：
fiddler在win7下面有https证书安装的问题，也就是如果我们用的程序或者爬虫代码爬取https页面的时候会出现这样的一个问题。

解决方法：
 * win7下面不要使用fiddler来抓取https数据

 * 使用wireshark替换fiddler或者直接使用chrom本身的调试工具
 * 升级操作系统使用win8以上的系统

"
Python学科,爬虫爬取下来的数据写入文件有哪些方式,"爬取下来的数据格式不同，写入文件的方式也不同


1. 爬取的数据是文本文件，则打开文件的方式**‘w'**模式打开并写入文件，例如f.write(<u>**content**</u>),则要求content是str的类型，如果爬取的到数据类型与其不匹配则转化到相应的格式


2. 爬取的数据是图片、程序、视频等，则打开的文件方式**'wb'**模式，正常写入就可以。"
Python学科,ubuntu 中如何安装Selenium,"ubuntu 中使用sudo apt-get install selenium，则可能会出现安装完成后selenium中的部分功能不能用,
从官网上下载selenium安装包，使用手动的方式进行安装"
Python学科,xpath中的 position 方法怎么理解,position 方法是相对于当前节点的父节点说的
Python学科,not 运算符什么时候使用，有什么作用,"not 运算符可以用来对原来的 boolean 表达式的值进行取反运算，如果原来表达式的值是 True，经过not运算之后，表达式的值是 False; 如果原来表达式的值是 False，经过 not 运算之后，表达式的值是 True。

# coding=utf-8

# 举个栗子：
# 假设已经有个变量表示是否生病，生病是 True, 没有生病是 False
# 1. 如果老师今天没有生病，那么今天就约美女班主任老师去看电影
# 2. 否则，如果是发烧，就去医院看医生
# 3. 否则，如果是咳嗽，就去楼下药房自己买点药
# 要表示上述的逻辑，就需要用到 not

is_sick = False  # True 表示生病,False 表示没有生病
sick_type = ""发烧""  # 病的种类

if not is_sick:
    print(""今天约美女班主任老师去看电影"")
elif sick_type == ""发烧"":
    print(""去医院看医生"")
elif sick_type == ""咳嗽"":
    print(""去楼下药房自己买点药"")

# 这个例子中，因为我们已经定义好 is_sick 的语义，is_sick = False 表示没有生病
# 所以如果 print(""今天约美女班主任老师去看电影"") 语句要执行，if 后面的表达式 ""xxx is_sick"" 必须为 True
# 当 is_sick 为 False 情况下，想要 xxx is_sick 为 True，只需要对 is_sick 进行逻辑非的运算，
# 所谓逻辑非运算，非 True = False，非 False = True，就是原来逻辑值的反值，这就是逻辑非运算的
# 效果。在 Python 中，逻辑非的运算符就是 not 这个符号。
# 当然，如果我已经有一个变量，is_sick ，当 is_sick = False 的时候表示生病，is_sick = True 的时候表示
# 没有生病，那么 if 这里就不需要 not 运算符，当然这时这个变量取名为 is_not_sick 更好理解。"
Python学科,is 运算符在iPython3中和PyCharm中结果不一致,对于Python而言，存储好的脚本文件（Script file）和在Console中的交互式（interactive）命令，执行方式不同。对于脚本文件，解释器将其当作整个代码块执行，而对于交互性命令行中的每一条命令，解释器将其当作单独的代码块执行。而Python在执行同一个代码块的初始化对象的命令时，会检查是否其值是否已经存在，如果存在，会将其重用（这句话不够严谨，后面会详谈）。所以在你给出的例子中，文件执行时（同一个代码块）会把a、b两个变量指向同一个对象；而在命令行执行时，a、b赋值语句分别被当作两个代码块执行，所以会得到两个不同的对象，因而is判断返回False。
Python学科,用mkvirtualenv命令创建虚拟环境提示找不到命令,"方法一：

在命令行里面执行下面的命令，初始化 virtualenvwrapper

source /usr/local/bin/virtualenvwrapper.sh
执行上述 bash 脚本之后，可以临时在环境变量中添加上 virtualenvwrapper 中的工具，但是关闭终端，下次再打开终端，仍然会找不到 virtualenvwrapper 里面的工具。

方法二：

#进入项目家目录,打开.bashrc文件
cd ~
vi .bashrc
在 .bashrc 文件中，另起一行，添加如下内容：

source /usr/local/bin/virtualenvwrapper.sh"
Python学科,网络调试助手无法收到 ubuntu发送的包,"可能的原因：
ubuntu发送的数据包windows没有关闭防火墙。

解决办法：
关闭windows防火墙"
Python学科,字符串类型和数字类型怎么比较大小,"在Python2中，比较运算遵循以下规则:

1. 数字和数字按大小排序 （数字类型包括 int, float, long, complex, bool）

2. 字符串和字符串按字典序排序(str, 按 unicode 编码比较每个字符的大小)

3. 数字类型和非数字类型比较，除None外,数字类型总是小于非数字类型。

4. 两个非数字不同类型，按其类型名的字典序排序

5. 第4点有一个特例，老式类的实例总是小于新式类

6. 非数字/字符串类型的同一类型的不同实例的比较，如果类定义了__cmp__()方法，则用该方法比较

7. 同上，若类型没定义__cmp__()方法， 则按实例在内存中的地址排序

8. None < None

9. 3，4，5，7 是CPython的实现，不是Python语言自身的标准，参见CPython implementation detail。Python语言规范只要求对非数字、非字符串类型的不同类型对象的比较，总是不相等的，比较结果可以是任意的，但必须是一致的（即多次比较，结果恒定）。

在实际工程中，一般不会对不同类型的对象进行比较，因为没有实际意义。

Python3对这个特性进行了改进 ( What’s New In Python 3.0 ), 规则如下：

1. incomparable类型对象比较 <, <=, >=, > 会 raise TypeError 异常，比如1 < ''， 0 > None ，len <= len 都不再有意义，但是 None < None 会返回 Fasle

2. incomparable类型对象比较 ！=, == 仍是合法的，不同类型的对象比较，总为False

3. cmp()和__cmp__()方法被弃置了，取而代之的是__lt__()，__eq__()，__hash__() ...

Python2  当初会设计这种比较规则，可能是为了便于对包含不同类型对象的容器排序。list.sort()和sorted()都仿照了C/C++里的sort。Python2.4后sort使用key来比较不同对象就更Pythonic。"
Python学科,mv命令系统如何判断命令是改名字还是移动,"mv source target

这里 source 表示源文件或者源目录，target 表示目标文件或者目标目录

其判断逻辑是这样的：

1. 首先判断 target 是不是一个已经存在的目录

   1. 如果目标文件是到某一目录文件的路径，源文件会被移到此目录下，且文件名不变。
   2. 如果目标文件不是目录文件，则源文件名（只能有一个源文件）会修改为目标文件名，并覆盖己存在的同名文件。如果源文件和目标文件在同一个目录下，此时mv的作用就是和改文件名等效。
2. 另外，当目标文件是目录文件时，源文件或目录参数可以有多个，则所有的源文件都会被移至目标文件中。所有移到该目录下的文件都将保留以前的文件名。所以，上面案例中先判断 test1 是不是已经存在的目录，经过检测发现是目录，那么就把源文件移动到 test1 下面。

"
Python学科,为什么可以用2个对象接收一个函数,"此方法是在基础阶段最开始讲解函数部分，返回多个对象章节中讲到的

当返回多个对象，接收参数的时候，如果多个参数，就需要对应多个变量接收

如果只有一个对象，则会返回一个元组

此方法为什么，方法的规定，具体可以查阅相关文档"
Python学科,为什么不在同一网段的ip不能直接通信,这里 有一篇帖子 ：https://www.cnblogs.com/S-volcano/p/5032065.html 作为参考。
Python学科,docker 创建容器的参数,"-p是映射端口

-e是传递参数

-network是映射网络"
Python学科,归一化算法问题,"用(x1-x2)^2 是在计算两个特征的距离 来计算两个特征在空间中的距离

就像你说的当两个特征的值差距太大，影响力会极端的不断等

 

归一化的目的在于把所有的维度 缩放到一个固定的范围比方说 -1 ~ 1  之间

 

 

这样子一来 所有的特征他们的影响力就是一样的了"
Python学科,关于vim 退出,"w：保存
q：退出
wq 或 x：保存退出，wq 和 x 都是保存退出
q！：强制退出
w！：强制保存，管理员才有权限"
Python学科,怎么让一个用python写的服务器.py程序一直运行呢,python-daemon 这个 python包 研究一下
Python学科,def 末尾return None,"return None  跟不写, 没有任何区别"
Python学科,全局变量可以在函数中定义么,"可以, 定义时加个global
比如在函数里定义一个全局变量a:
def func():
    global a
    a = 1"
Python学科,绑定端口时为什么不需要写具体的ip地址呢,如果 不写的话 就是 绑定 自己的 本地的ip地址。
Python学科,./run.sh 是什么意思,"""./""代表""本目录""的意思，所以""./run.sh"" 代表执行本目录下名为 run.sh 的文件"
Python学科,pycharm导入模块的快捷键是什么,alt+enter
Python学科,在方法中的局部变量，是不是无法被其他方法调用,方法 中的 局部变量 不能在 其他 方法里使用。如果想做到这样，可以 根据 情况 定义成 实例属性或者类属性
Python学科,"数据库,明明关联会降低查询性能，为什么还会分出这么多表",因为 如果 都存 一张表里 很多 字段 都是重复的。太消耗 磁盘空间了
Python学科,mac 安装mysql无配置文件,"mac 系统下。没有配置文件，需要自己手动创建。

参考这篇帖子：https://blog.csdn.net/jyongchong/article/details/77862819"
Python学科,live-server安装失败,降低node版本，使用sudo安装
Python学科,"windows环境中验证码不显示
OSError: cannot open resource","通过报错信息不能准确分析问题原因，初步分析：项目的图片验证码使用时需要actionj.ttf, Arial.ttf, Georgia.ttf 这三个字体，而在你的win中操作抛出异常OSError: cannot open resource，这个错误可能你的win中缺少对应的字体，需要查看一下win中的字体库，看是否缺少，缺少安装对应字体库，如果还不能解决，方便时可远程看一下（win中的字体库通常是在c盘windows/fonts）"
Python学科,axis 的问题," axix = 0 在不同的方法看起来好像有不同的方向 但是掌握一个大原则

使用0值表示沿着每一列或行标签\索引值向下执行方法
使用1值表示沿着每一行或者列标签模向执行对应的方法
主要是要看你给的什么标签，前面给的是行标签，还是列标签。"
Python学科,vmWare三种网络模式：桥连接、net模式、仅主机模式区别,理解这个 需要 对 网络有 很不错的基础才行哦。https://www.linuxidc.com/Linux/2016-09/135521p3.htm  这里 有一篇文章你看看，能看懂最好，看不懂 也别纠结。知识储备 没到这个 程度。
Python学科,"arrary切片, data[:,-1]","data是一个二维数组, data[:, -1]表示:
[ : (取第一个二维数组的全部) , -1（取第二个二维数组的最后一个元素） ]"
Python学科,没有middleware.py文件,需要 切换到 虚拟环境里 创建 爬虫项目
Python学科,服务器uwsgi运行不起来,"如果是 502 的話說明虽然支持项目运行的uwsgi进程已经不再了。

但是之前运行中的sock文件还在，并没有删除掉。当用户再次使用 uwsgi --ini my_uwsgi.ini 来运行服务器的时候，因为有之前的sock文件的存在，所以服务器并不会产生新的sock文件。自然服务也就无法运行。此时，及时使用uwsgi --stop uwsgi.pid命令也不会删除sock文件，因为这个时候系统已经找不到这个sock文件了。

直接进入到项目的目录中，手动 rm -rf 删除掉sock文件。然后运行uwsgi --ini my_uwsgi.ini 就可以了。"
Python学科,熵的解释,"可以简单粗暴的理解为『当混乱度越高 熵值就越高』

从概率统计的角度看，熵是对随机变量不确定性的度量，也可以说是对随机变量的概率分布的一个衡量。熵越大，随机变量的不确定性越大。

 

 

所以我们可以总结为 『熵是对随机变量不确定性的度量』"
Python学科,jQuery中关于$符号的规则,$ 符号是 JQ 对象的一个简写，只要是透过 JQ 获取元素或者初始化的时候都需要添加
